r0,rc,c
-1.401492266261219477e+00,1.364126318909588964e-01,1.973376910092988328e+04
1.078402601942037187e+00,1.414255341137590438e+00,1.973308235389042238e+04
2.093433950776973362e-01,4.893703927367726303e-01,1.973490956458414439e+04
6.001628267086371871e-01,6.521601237003323837e-01,1.973424087315892029e+04
-9.506371988010367535e-02,1.032455260354512960e+00,1.973569887570564242e+04
-4.616357484192279426e-01,-1.308514396804153712e+00,1.973374064104422359e+04
-8.011961362947969678e-02,-4.884177446362627378e-03,1.973181340510656082e+04
7.954238982689428861e-01,1.089778344670141452e+00,1.973483287506206034e+04
8.820697719823641370e-01,-3.940676752476414690e-01,1.973366527317869259e+04
6.960268448967256161e-01,1.460078570781309315e+00,1.973518505092580381e+04
8.494288305366036740e-01,4.795731969187529420e-01,1.973410887745328000e+04
-9.650535520120234745e-01,-5.993316469734694119e-01,1.973296643920331553e+04
-2.993571960592819048e-01,1.041829481129588508e+00,1.973481328736361684e+04
-2.854525055115650356e-02,7.475091738837611466e-01,1.973315684707999026e+04
1.179162296742079175e+00,3.243513368310357414e+00,1.973570918856856952e+04
-1.170809409389028444e+00,-4.890273839497786268e-01,1.973348603740326871e+04
1.664248390135044664e+00,-7.764701040158428214e-02,1.973427284261021123e+04
8.708115423225684104e-01,1.671055900803336769e+00,1.973317685235815952e+04
-1.177399266944425094e+00,1.023039168398803822e+00,1.973246867060948716e+04
