r0,rc,c
1.359461604720309941e-02,1.408934830985509971e-02,1.114080970886219256e+04
1.445048510723529953e-02,1.996255947801529873e-02,1.336447978957996202e+04
1.153061224489789968e-02,1.438775510204079976e-02,1.175182587775114916e+04
1.116354594814020045e-02,1.720200943827060111e-02,1.424563870773820054e+04
1.186361995151389952e-02,1.506163924279139976e-02,1.145756581336017007e+04
1.216311698798819979e-02,1.660442111638230078e-02,1.130534809853696061e+04
1.115260653808759946e-02,1.166419399396310085e-02,1.463852002527817058e+04
1.148295660270010066e-02,1.375885791134319990e-02,1.286005054195408047e+04
1.156949307352720009e-02,1.639011518749659835e-02,1.461172271440077930e+04
1.159390550454019939e-02,1.539014005027430042e-02,1.413285345291803060e+04
1.200773379464739957e-02,1.684135544927229874e-02,1.236629464419100987e+04
1.069958847736609923e-02,1.213991769547319993e-02,1.355838431847192078e+04
1.165789745176940007e-02,1.387599298462800085e-02,1.289256302620524912e+04
1.170948367233629918e-02,1.625195578660470000e-02,1.517246193256560946e+04
1.230992034757420056e-02,1.468914865004660071e-02,1.549203492337996067e+04
1.198979591836729988e-02,1.653061224489800127e-02,1.123496072315095989e+04
1.098122564647550058e-02,1.108243509943809997e-02,1.289938966374170013e+04
1.132778151347440046e-02,1.417265814927839984e-02,1.180465676443750090e+04
1.178571428571409917e-02,1.632653061224489943e-02,1.540978405283122993e+04
1.231055707857039994e-02,1.365540785185940034e-02,1.132189390753446060e+04
1.206217825779730066e-02,1.650348238619159941e-02,1.097282055314510035e+04
1.124464847578269915e-02,1.403002011657280071e-02,1.102474335104669080e+04
1.148295660270010066e-02,1.691408472559860141e-02,1.386657819469155947e+04
1.163265306122449917e-02,1.392857142857139956e-02,1.060029952583058912e+04
1.351971838171519939e-02,1.464211009642359985e-02,1.114282997609290032e+04
1.059670781893000055e-02,1.296296296296290014e-02,1.932164923289325088e+04
1.115260653808759946e-02,1.166419399396310085e-02,1.463852002527817058e+04
1.097472173098919951e-02,1.269114740455629976e-02,1.948944708625736166e+04
1.069958847736609923e-02,1.213991769547319993e-02,1.355838431847192078e+04
1.069950540022199942e-02,1.145654587665279923e-02,1.823079918544296015e+04
1.098122564647550058e-02,1.108243509943809997e-02,1.289938966374170013e+04
9.951093209674499382e-03,1.063483777808399942e-02,1.367096530204739247e+04
1.037888554961170079e-02,1.277491207825739994e-02,1.273418768365175674e+04
1.044870334888449957e-02,1.499946261875289948e-02,1.589323376846494648e+04
1.065738464730760053e-02,1.319590586526809932e-02,1.515132427555594950e+04
1.093260542698320029e-02,1.432427844066450073e-02,1.577858142829331155e+04
1.339968736535099986e-02,2.678739193306649974e-02,1.461132252736732880e+04
8.890239896730699545e-03,9.522748931419699331e-03,1.442314997942063565e+04
9.200615666100900661e-03,1.154228882384410008e-02,1.296689555200002360e+04
9.416565799767800601e-03,1.338423176671530053e-02,1.710985975202836562e+04
9.392287360072599373e-03,1.134483574949880086e-02,1.660849715455917976e+04
9.811661953632099670e-03,1.198976061114480005e-02,1.992162836796031115e+04
1.142881957149450081e-02,2.188589817646029861e-02,2.303348455340857618e+04
7.818930041152300295e-03,8.590534979423899986e-03,1.480843219271183989e+04
8.163265306122399409e-03,1.005102040816320021e-02,1.399940059975457916e+04
8.464142813173199803e-03,1.195239560890530052e-02,1.714906868166846834e+04
8.097165991902799398e-03,9.261133603238800444e-03,1.656503398071957054e+04
8.771929824561300673e-03,8.618036318867299678e-03,1.013178311419732927e+04
8.913898710223600377e-03,1.732981425227820074e-02,3.322397307683688996e+04
7.695070025137300262e-03,8.515877494485199137e-03,1.440279034296433929e+04
7.857142857142800432e-03,1.051020408163260041e-02,1.289254404704449007e+04
8.293477154777599211e-03,1.190597333876059968e-02,2.081501163300931876e+04
8.141250699638700322e-03,9.209789853966299927e-03,1.582287628461526037e+04
8.603238866396800688e-03,1.062753036437229931e-02,4.159106900628522999e+04
9.992934288886600597e-03,1.604925810033309974e-02,2.971891555059472012e+04
7.974159685071199183e-03,8.125567780357299819e-03,1.631478143470547002e+04
8.046629184505200635e-03,1.036777221849670069e-02,1.270686561424580941e+04
8.395664784002400058e-03,1.144863379636699985e-02,1.701537689209755990e+04
8.143153526970899406e-03,1.001037344398339989e-02,2.180909983535240099e+04
8.696986749884899268e-03,9.720161661635900313e-03,2.047117380239938939e+04
9.467022333803899736e-03,1.757414090695130077e-02,3.142405111091786966e+04
8.855236167453300195e-03,1.040860995475039949e-02,1.300102327476414212e+04
8.205223962533600771e-03,9.450496450337200760e-03,1.401006402307606186e+04
7.611508601004599722e-03,9.336783883899099287e-03,2.730661504260832953e+04
7.818930041152300295e-03,8.590534979423899986e-03,1.480843219271183989e+04
7.827288074896299186e-03,8.185399294009300733e-03,1.856287706111830994e+04
7.695070025137300262e-03,8.515877494485199137e-03,1.440279034296433929e+04
8.054173292976899226e-03,8.413276560816699418e-03,2.037861838308779988e+04
7.974159685071199183e-03,8.125567780357299819e-03,1.631478143470547002e+04
