r0,rc,c
1.118364455240099947e-02,1.143666818480859951e-02,1.055943753027234925e+04
1.091398127553909990e-02,1.179330678115140044e-02,1.135376818659666969e+04
1.231208825060950071e-02,1.306501198559370004e-02,1.128733397714935018e+04
1.285330656738000073e-02,1.413590272700719977e-02,1.073102860004959075e+04
1.317422477419740064e-02,1.780440309959669884e-02,1.206583653548317670e+04
1.379786802185960053e-02,1.822418343450250139e-02,1.398393712712650631e+04
1.395561399472300054e-02,1.716933148085629871e-02,1.026274395719942368e+04
9.326186241353499884e-03,1.054333238478869991e-02,1.044071857118355911e+04
9.238104698519900362e-03,9.238104698519900362e-03,9.672823520717636711e+03
1.000000000000000021e-02,1.352040816326529997e-02,9.764425136587364250e+03
1.063511084481729915e-02,1.682644297982820170e-02,1.599760280125738973e+04
1.091836734693880061e-02,1.142857142857140081e-02,1.334835819636507949e+04
1.118364455240099947e-02,1.143666818480859951e-02,1.055943753027234925e+04
9.672135163173899847e-03,1.144963085654590075e-02,1.346504481427266910e+04
1.005102040816339970e-02,1.005102040816320021e-02,1.338424266060350965e+04
1.051995771883020014e-02,1.278502038556400024e-02,1.120756935395525943e+04
9.983113141948900607e-03,1.758219926492490121e-02,1.492874086674562022e+04
9.517423712591699739e-03,1.210720713615649931e-02,1.207018419390044983e+04
9.490586364335799885e-03,1.051659570102089943e-02,1.167316214786316959e+04
1.064101908221199919e-02,1.325011510717749932e-02,1.109955722865087955e+04
1.041935317480790005e-02,1.831123949038010110e-02,1.412400444248847998e+04
9.790291045008800083e-03,1.144250231534819917e-02,9.793677787584983889e+03
9.897959183673600211e-03,1.025510204081610081e-02,8.460492369250172487e+03
1.049196787148590042e-02,1.295180722891559923e-02,9.780263826796333888e+03
1.083200082529530046e-02,1.779542992727079984e-02,1.488320462018110084e+04
9.210442448582200139e-03,1.095943881984699948e-02,8.646283026451794285e+03
9.464367933698199925e-03,1.002711413516139960e-02,9.207004281846748199e+03
9.889558232931600773e-03,1.280120481927719996e-02,8.098610489046289331e+03
1.030612244897950031e-02,1.734693877551020044e-02,1.285209017379137913e+04
1.054526748971200065e-02,1.136831275720160024e-02,1.245385198348372978e+04
1.091398127553909990e-02,1.179330678115140044e-02,1.135376818659666969e+04
8.932316102131399732e-03,8.997269187439999732e-03,1.301851812434013118e+04
9.574753446011599264e-03,1.206167425698920041e-02,1.173719214123913116e+04
9.489567905241500650e-03,1.616884688742750015e-02,1.464513908265716054e+04
9.830284862510399804e-03,1.112231370343400028e-02,1.895189105753842523e+04
9.951093209674499382e-03,1.063483777808399942e-02,1.367096530204739247e+04
8.271395047256499891e-03,8.059298105645299262e-03,1.446029347228549159e+04
8.762514625009100791e-03,1.093816729530940057e-02,1.278386704274710064e+04
8.633276756624999257e-03,1.476439986314389934e-02,1.427349546181715414e+04
8.830637426068200374e-03,9.883733474837900351e-03,2.051729727657161129e+04
8.890239896730699545e-03,9.522748931419699331e-03,1.442314997942063565e+04
7.363423232922499881e-03,8.959341344650699479e-03,1.804560257345779974e+04
7.810153199158799929e-03,7.259437268449100283e-03,1.852704020941780982e+04
7.540104245736399709e-03,1.017155002277209987e-02,1.422923562920368022e+04
7.581539714038599935e-03,1.389100900625849996e-02,1.525713660470276045e+04
7.622530976599300317e-03,7.800070250886400290e-03,1.037046331045857914e+04
7.734188164656799827e-03,6.665649010329200222e-03,1.243677144329750990e+04
7.965654580251299230e-03,9.310505353540700357e-03,1.113477221916058079e+04
7.570404764307900151e-03,1.307156555970520086e-02,1.270076549724156939e+04
7.679681063320000119e-03,8.717737242234700756e-03,1.664124843024756046e+04
7.287080613329300141e-03,7.438894792773500207e-03,1.674239480797724900e+04
8.345068586032400315e-03,9.961925624576100854e-03,1.612761798440094026e+04
8.179012345679099322e-03,1.311728395061719996e-02,1.374765342098712063e+04
