soc,temp,c,soh
0.0,10,14312.963546799454,1.0
0.0,25,15492.402258294052,1.0
0.1,10,13754.602937563255,1.0
0.1,25,35458.17757481,1.0
0.1,40,40624.97846215094,1.0
0.2,25,34771.90651457616,1.0
0.2,40,43963.322751504325,1.0
0.3,10,22877.728238207223,1.0
0.3,25,36382.5965571146,1.0
0.3,40,44400.66147681272,1.0
0.4,10,23125.345133062077,1.0
0.4,25,35145.935926943275,1.0
0.4,40,41896.51448978656,1.0
0.5,10,23374.692031346684,1.0
0.5,25,36222.70759451522,1.0
0.5,40,42480.30793093138,1.0
0.6,10,23132.033855028683,1.0
0.6,25,34212.36891379067,1.0
0.6,40,43893.04299918753,1.0
0.7000000000000001,25,35655.8004542455,1.0
0.7000000000000001,40,42449.671312922444,1.0
0.8,10,23150.3512616092,1.0
0.8,25,35403.77794667977,1.0
0.8,40,42630.75588257639,1.0
0.9,10,23998.034180978135,1.0
0.9,25,36086.397794994955,1.0
0.9,40,40123.18881207036,1.0
1.0,25,34126.11333703841,1.0
1.0,40,39493.34041408236,1.0
0.0,10,11927.46962233288,0.9
0.0,25,12910.335215245046,0.9
0.1,10,11462.169114636046,0.9
0.1,25,29548.481312341668,0.9
0.1,40,33854.14871845912,0.9
0.2,25,28976.588762146806,0.9
0.2,40,36636.10229292027,0.9
0.3,10,19064.773531839353,0.9
0.3,25,30318.830464262166,0.9
0.3,40,37000.55123067727,0.9
0.4,10,19271.120944218397,0.9
0.4,25,29288.2799391194,0.9
0.4,40,34913.76207482214,0.9
0.5,10,19478.910026122237,0.9
0.5,25,30185.58966209602,0.9
0.5,40,35400.256609109485,0.9
0.6,10,19276.69487919057,0.9
0.6,25,28510.307428158892,0.9
0.6,40,36577.53583265627,0.9
0.7000000000000001,25,29713.167045204587,0.9
0.7000000000000001,40,35374.726094102036,0.9
0.8,10,19291.959384674334,0.9
0.8,25,29503.148288899814,0.9
0.8,40,35525.62990214699,0.9
0.9,10,19998.36181748178,0.9
0.9,25,30071.998162495795,0.9
0.9,40,33435.9906767253,0.9
1.0,25,28438.427780865342,0.9
1.0,40,32911.1170117353,0.9
0.0,10,9541.975697866303,0.8
0.0,25,10328.268172196036,0.8
0.1,10,9169.73529170884,0.8
0.1,25,23638.785049873335,0.8
0.1,40,27083.318974767295,0.8
0.2,25,23181.271009717446,0.8
0.2,40,29308.88183433622,0.8
0.3,10,15251.818825471484,0.8
0.3,25,24255.06437140974,0.8
0.3,40,29600.44098454182,0.8
0.4,10,15416.89675537472,0.8
0.4,25,23430.62395129552,0.8
0.4,40,27931.00965985771,0.8
0.5,10,15583.128020897791,0.8
0.5,25,24148.471729676814,0.8
0.5,40,28320.20528728759,0.8
0.6,10,15421.355903352458,0.8
0.6,25,22808.245942527115,0.8
0.6,40,29262.02866612502,0.8
0.7000000000000001,25,23770.533636163673,0.8
0.7000000000000001,40,28299.78087528163,0.8
0.8,10,15433.56750773947,0.8
0.8,25,23602.518631119852,0.8
0.8,40,28420.503921717598,0.8
0.9,10,15998.689453985426,0.8
0.9,25,24057.59852999664,0.8
0.9,40,26748.79254138024,0.8
1.0,25,22750.74222469228,0.8
1.0,40,26328.893609388244,0.8
0.0,10,7156.481773399726,0.7
0.0,25,7746.201129147025,0.7
0.1,10,6877.301468781627,0.7
0.1,25,17729.088787405,0.7
0.1,40,20312.489231075466,0.7
0.2,25,17385.95325728808,0.7
0.2,40,21981.661375752163,0.7
0.3,10,11438.864119103611,0.7
0.3,25,18191.298278557297,0.7
0.3,40,22200.33073840636,0.7
0.4,10,11562.672566531037,0.7
0.4,25,17572.967963471638,0.7
0.4,40,20948.257244893277,0.7
0.5,10,11687.346015673342,0.7
0.5,25,18111.35379725761,0.7
0.5,40,21240.153965465688,0.7
0.6,10,11566.016927514342,0.7
0.6,25,17106.18445689533,0.7
0.6,40,21946.52149959376,0.7
0.7000000000000001,25,17827.90022712275,0.7
0.7000000000000001,40,21224.83565646122,0.7
0.8,10,11575.175630804599,0.7
0.8,25,17701.888973339886,0.7
0.8,40,21315.377941288192,0.7
0.9,10,11999.017090489066,0.7
0.9,25,18043.198897497474,0.7
0.9,40,20061.594406035176,0.7
1.0,25,17063.056668519203,0.7
1.0,40,19746.670207041177,0.7
0.0,10,4770.987848933151,0.6
0.0,25,5164.134086098017,0.6
0.1,10,4584.867645854419,0.6
0.1,25,11819.392524936666,0.6
0.1,40,13541.659487383646,0.6
0.2,25,11590.635504858721,0.6
0.2,40,14654.440917168109,0.6
0.3,10,7625.909412735741,0.6
0.3,25,12127.532185704868,0.6
0.3,40,14800.220492270906,0.6
0.4,10,7708.448377687359,0.6
0.4,25,11715.311975647759,0.6
0.4,40,13965.504829928854,0.6
0.5,10,7791.564010448895,0.6
0.5,25,12074.235864838405,0.6
0.5,40,14160.102643643795,0.6
0.6,10,7710.677951676228,0.6
0.6,25,11404.122971263556,0.6
0.6,40,14631.014333062509,0.6
0.7000000000000001,25,11885.266818081835,0.6
0.7000000000000001,40,14149.890437640815,0.6
0.8,10,7716.783753869734,0.6
0.8,25,11801.259315559924,0.6
0.8,40,14210.251960858797,0.6
0.9,10,7999.344726992712,0.6
0.9,25,12028.799264998319,0.6
0.9,40,13374.39627069012,0.6
1.0,25,11375.371112346138,0.6
1.0,40,13164.44680469412,0.6
