temp,soc,c
0,0,3042.3924358984
0,0.05,5289.29615502265
0,0.1,8404.66713147721
0,0.15,11520.0381079318
0,0.2,12724.2006111956
0,0.25,13495.2927391644
0,0.3,13995.999250265
0,0.35,14088.2379315506
0,0.4,14180.4766128362
0,0.45,14404.8909183854
0,0.5,14631.8426037629
0,0.55,15134.8623609376
0,0.6,15851.6797862657
0,0.65,16581.8173583616
0,0.7,17389.8484177813
0,0.75,18197.879477201
0,0.8,17127.6096372613
0,0.85,15357.6743814957
0,0.9,13587.73912573
0,0.95,11817.8038699644
0,1,10047.8686141988
10,0,2331.91201412935
10,0.05,6902.28537080964
10,0.1,14782.7572326412
10,0.15,21141.2063975019
10,0.2,24098.0558471107
10,0.25,26492.0115030632
10,0.3,25283.8279242872
10,0.35,24075.6443455113
10,0.4,22380.4105995712
10,0.45,20665.474415781
10,0.5,20284.9362278376
10,0.55,20265.5302464715
10,0.6,21727.2942799234
10,0.65,24124.2813465874
10,0.7,26550.0756112612
10,0.75,29012.6787918253
10,0.8,29302.7523773854
10,0.85,23567.5568741199
10,0.9,17832.3613708543
10,0.95,12097.1658675888
10,1,6361.97036432325
20,0,3226.2191858309
20,0.05,10665.2067914357
20,0.1,17994.195475668
20,0.15,25115.6814175397
20,0.2,31785.4617153677
20,0.25,37335.4325109507
20,0.3,40895.5574427335
20,0.35,37734.8760450036
20,0.4,34453.6920240457
20,0.45,30582.8125742874
20,0.5,27084.4072525798
20,0.55,26583.0130810283
20,0.6,26688.8058338272
20,0.65,37933.9205312721
20,0.7,49179.0352287169
20,0.75,44314.45060611
20,0.8,39329.0795212628
20,0.85,31390.8809041717
20,0.9,23242.3698571005
20,0.95,15093.8588100294
20,1,6945.34776295826
30,0,26089.1872532601
30,0.05,25578.6969305928
30,0.1,25068.2066079255
30,0.15,29237.4679834609
30,0.2,33473.5219861662
30,0.25,41720.6987580665
30,0.3,50084.6073338567
30,0.35,45925.5366407206
30,0.4,41212.1269632479
30,0.45,37988.525626213
30,0.5,34853.7216007414
30,0.55,33747.7627296706
30,0.6,32795.0412024883
30,0.65,66387.223911982
30,0.7,103152.311501886
30,0.75,76421.0055034587
30,0.8,42769.7888429957
30,0.85,32619.3106744387
30,0.9,25448.3735196556
30,0.95,18277.4363648726
30,1,11106.4992100896
40,0,96161.2430996192
40,0.05,72185.3500353075
40,0.1,48613.5113603042
40,0.15,33459.4907181346
40,0.2,34486.3343496531
40,0.25,37141.7447442995
40,0.3,42302.7422295375
40,0.35,45168.6232788248
40,0.4,45179.220729764
40,0.45,43631.7513853279
40,0.5,40510.7067270492
40,0.55,39812.6260506596
40,0.6,41103.5071879987
40,0.65,70039.2519638503
40,0.7,117323.924391727
40,0.75,101504.085994062
40,0.8,52113.9301424497
40,0.85,33378.3910847068
40,0.9,27497.8438006265
40,0.95,21617.2965165461
40,1,15736.7492324658
