Soc,R_0,R_1,C_1,OCV,Temp
1.0,0.005951394937953763,0.002942226833557993,10659.63644818458,4.040075,0
0.9,0.005921361913240037,0.007728930690191871,7198.722593827441,4.0278,0
0.8,0.005769557950781114,0.007483101548107496,8956.178016915097,3.929,0
0.7,0.005825669952044477,0.007140918324138101,8409.38382162777,3.8257,0
0.6,0.0058297532221001,0.007192966860010919,7470.025430293875,3.7444,0
0.5,0.005916686655472928,0.007789981322664175,6617.542975294273,3.6914,0
0.4,0.005894351621321661,0.008994914841668478,5326.965645747015,3.655,0
0.3,0.005820267341944452,0.01191251095784229,2796.826156026427,3.6223,0
0.2,0.005448174861421446,0.02288056860252785,310.8953365299167,3.5789,0
0.1,0.006402093414632933,0.02162216017254803,187.0069469068142,3.5688,0
0.0,0.006696540204246983,0.02105072336520386,151.7301311287385,3.5609,0
1.0,0.004023736263869703,0.004000928257544676,15237.5586952359,4.045732142857143,10
0.9,0.004127214130461927,0.004892688987802152,11277.45607029086,4.0322,10
0.8,0.004010922512177804,0.005063013395144478,15288.93389836773,3.9362,10
0.7,0.003981416724947541,0.004575082813457532,14187.03189171945,3.8336,10
0.6,0.004068637006602784,0.00432066792061947,12810.88258382267,3.7499,10
0.5,0.004080938615881648,0.004632856063849444,12206.22716363075,3.6964,10
0.4,0.004137682897577368,0.005142369319887874,12575.26931397447,3.6616,10
0.3,0.004166416581637753,0.00589325350428116,11482.92001150991,3.6304,10
0.2,0.004112796701757186,0.00727416183800178,6123.883917089725,3.5852,10
0.1,0.004035464078369001,0.02021377126721668,278.0496591211945,3.5224,10
0.0,0.004414548033179025,0.02073290184752785,200.6013726876527,3.5089,10
1.0,0.002983087638570778,0.003130844595079674,18725.53388742897,4.049457142857142,20
0.9,0.003035015175075863,0.003353104721213085,14918.58788179265,4.0348,20
0.8,0.003036032250965316,0.003739473892835021,21049.03729691391,3.9393,20
0.7,0.002960014800073985,0.003359356921614487,21335.88459111153,3.8394,20
0.6,0.002991634411287294,0.002974712625322451,17151.73263024871,3.7523,20
0.5,0.003033301351243314,0.003183270946549688,17632.62542005829,3.6993,20
0.4,0.00309071086349862,0.003658633413687773,19926.21973188527,3.665,20
0.3,0.00308361237443151,0.004050804669550545,20571.90143651804,3.6347,20
0.2,0.003091406589998442,0.004095305508096447,15083.12242934773,3.5866,20
0.1,0.003161074765420227,0.005110572811746317,6394.636556584668,3.5245,20
0.0,0.003273167026465186,0.01953833226002766,336.1303773247918,3.4642,20
1.0,0.002197813878540893,0.002479830456869154,22966.77861303526,4.054349999999999,30
0.9,0.002228751898936594,0.002447516297800489,17259.70861759216,4.0371,30
0.8,0.002237985812768506,0.00291004075076684,24140.46479299896,3.9417,30
0.7,0.002234497238121432,0.002807647088507115,33555.91017288352,3.8471,30
0.6,0.002270522220110619,0.002205256308144166,20859.50562493952,3.7545,30
0.5,0.00229104242430305,0.002435919125212682,22622.61180249321,3.702,30
0.4,0.002308188072363207,0.002861636232383558,26234.31423083442,3.6679,30
0.3,0.002341322847408772,0.003101178137573934,28125.50241699341,3.6358,30
0.2,0.002345539474079035,0.0028476244788328,20480.70591689081,3.5855,30
0.1,0.00244528120733883,0.003008504372037701,13290.27868372794,3.5244,30
0.0,0.002597051670819939,0.006582941178095658,4305.460289008968,3.3943,30
1.0,0.001776265393655463,0.002142303785258267,27669.42834366446,4.057875,40
0.9,0.001801224832886364,0.001984741418981639,18261.15315383416,4.0385,40
0.8,0.001812960419528042,0.00249000480874384,25167.56232621204,3.9436,40
0.7,0.001808779074124966,0.002443210691365105,47572.24345204759,3.8505,40
0.6,0.0018200091000455,0.001753000587811804,24622.19318508872,3.7573,40
0.5,0.001833762210507894,0.002069500675288105,26290.43297455814,3.7052,40
0.4,0.001870430198945751,0.002474248019881498,29443.60166142191,3.6711,40
0.3,0.001885009425047129,0.002450859588420395,29959.93060461282,3.6341,40
0.2,0.001893087981139052,0.002194847174526671,23534.54164721047,3.5845,40
0.1,0.001957582385753601,0.002144319812462325,18880.66145001332,3.5248,40
0.0,0.002089770125286233,0.003450240425680984,15311.6194135472,3.3953,40
