soc,r0,r1,c1,r2,c2,voc,temp
1.0,0.003880685,0.002918446,18344.31485,0.000952653,1265391.012,4.033697619,10
0.9,0.004510248,0.003439323,14299.26345,0.000858652,1191510.739,4.024066667,10
0.8,0.005107517,0.004886134,14623.69723,0.001559408,993280.2418,3.916833333,10
0.7,0.005247227,0.004198394,15652.2393,0.002151387,795968.1788,3.8077,10
0.6,0.005646158,0.003852181,16614.07295,0.001389962,1329444.327,3.7226,10
0.5,0.005427444,0.004736778,13113.68985,0.001539915,890446.3274,3.6745,10
0.4,0.006263955,0.004744603,13872.96633,0.002199806,539369.8386,3.6435,10
0.3,0.006616523,0.005740097,9346.69027,0.002569088,551747.9379,3.605666667,10
0.2,0.008428633,0.007828302,4380.781925,0.002466415,603683.2565,3.548,10
0.1,0.011123147,0.030314234,403.9654139,0.006190604,121196.7257,3.4851,10
0.0,0.009976767,0.094293984,1214.796486,0.073588302,24057.47016,3.350866667,10
1.0,0.002920372,0.002711926,19485.51004,0.000975163,1837399.81,4.043415476,25
0.9,0.003071164,0.002403498,17809.06196,0.000698023,2043131.856,4.0304,25
0.8,0.00313205,0.00342273,17555.3778,0.001181284,1745247.743,3.926033333,25
0.7,0.003129071,0.003115196,22100.00876,0.00167484,1099436.673,3.8207,25
0.6,0.003246463,0.002606626,23468.92839,0.001153275,1858476.003,3.735,25
0.5,0.003258715,0.003041236,21980.94024,0.000984415,1927500.214,3.684333333,25
0.4,0.003346449,0.003476531,22871.01979,0.001210036,1271889.607,3.652066667,25
0.3,0.003532659,0.003205915,22376.92662,0.001494667,1157052.599,3.612,25
0.2,0.003711954,0.00330029,17509.94407,0.001343871,1771021.47,3.557933333,25
0.1,0.004028528,0.005413451,7542.184845,0.001855998,1205116.877,3.4986,25
0.0,0.004971338,0.070118303,2145.293351,0.052438647,40064.32793,3.298466667,25
1.0,0.002097518,0.002067389,20227.65009,0.000785953,1433398.897,4.045541667,40
0.9,0.00208961,0.001625479,16908.42349,0.000580177,1239518.42,4.0301,40
0.8,0.002249419,0.002502938,19642.53445,0.000960574,2039789.551,3.926133333,40
0.7,0.002224381,0.002504272,27664.96649,0.001302836,1574564.45,3.821966667,40
0.6,0.002240028,0.001936047,28146.41912,0.000913739,2678838.495,3.735933333,40
0.5,0.002295908,0.002258717,26788.83206,0.000751016,3070298.899,3.686466667,40
0.4,0.00233359,0.002632309,28981.774,0.000863418,2187606.883,3.6537,40
0.3,0.002378094,0.002232656,28753.31543,0.000989739,2350017.398,3.6077,40
0.2,0.002429811,0.002153004,22578.00873,0.001193305,2885629.033,3.553933333,40
0.1,0.002765859,0.002654896,16796.7206,0.001728704,2039036.438,3.494233333,40
0.0,0.003074631,0.05873563,2874.223512,0.051822065,56936.58479,3.2428,40
