temp,soc,voc
0,1.00527650716982,4.1442
0,0.884427179478569,4.0278
0,0.763570103916885,3.929
0,0.64269837952382,3.8257
0,0.521822067835873,3.7444
0,0.400941772416643,3.6914
0,0.280085126017317,3.655
0,0.159236750473919,3.6223
0,0.0413944759033542,3.5789
0,0.0166400279885696,3.5688
10,1.00412809675212,4.1465
10,0.895451313173906,4.0322
10,0.786749311133431,3.9362
10,0.678048686292432,3.8336
10,0.569351633087478,3.7499
10,0.460649536235362,3.6964
10,0.351943989794545,3.6616
10,0.243242625090603,3.6304
10,0.134543669583673,3.5852
10,0.0258426499005023,3.5224
20,1.00922439514117,4.147
20,0.906274501172037,4.0348
20,0.803324424977896,3.9393
20,0.700372097495603,3.8394
20,0.597415457941069,3.7523
20,0.494472833425631,3.6993
20,0.391516266280658,3.665
20,0.288578089104924,3.6347
20,0.185628339468749,3.5866
20,0.082677425989023,3.5245
30,1.0070541420552,4.1474
30,0.906339854481501,4.0371
30,0.805625962167686,3.9417
30,0.704913571321091,3.8471
30,0.604206109732621,3.7545
30,0.503511263758556,3.702
30,0.402812523553641,3.6679
30,0.302119467361737,3.6358
30,0.201413952476076,3.5855
30,0.100703592156643,3.5244
40,1.00959128700669,4.1476
40,0.912184804380588,4.0385
40,0.81477258954618,3.9436
40,0.717362491380329,3.8505
40,0.619947178887816,3.7573
40,0.522540744176888,3.7052
40,0.425123805003304,3.6711
40,0.327719046863675,3.6341
40,0.230303505617446,3.5845
40,0.132889697244876,3.5248
40,0.0354800027867276,3.3953
