Time,Voltage [V],Current [A],Power [W],Temperature [degC]
2020/07/21 10:06:59,4.068,-20.011,-81.39723243,23.289
2020/07/21 10:07:00,4.057,-19.998,-81.13492949,23.193
2020/07/21 10:07:01,4.055,-19.998,-81.08540358,23.221
2020/07/21 10:07:02,4.053,-19.999,-81.05020403,23.233
2020/07/21 10:07:03,4.051,-19.999,-81.01461397,23.312
2020/07/21 10:07:04,4.049,-19.998,-80.97657022,23.212
2020/07/21 10:07:05,4.048,-19.999,-80.94806257,23.187
2020/07/21 10:07:06,4.046,-19.998,-80.91858529,23.262
2020/07/21 10:07:07,4.045,-19.999,-80.89200998,23.205
2020/07/21 10:07:08,4.043,-19.999,-80.86655051,23.255
2020/07/21 10:07:09,4.042,-20,-80.84517265,23.257
2020/07/21 10:07:10,4.041,-19.999,-80.81517651,23.231
2020/07/21 10:07:11,4.04,-19.997,-80.78323879,23.208
2020/07/21 10:07:12,4.039,-19.999,-80.76716155,23.269
2020/07/21 10:07:13,4.037,-19.998,-80.74080522,23.212
2020/07/21 10:07:14,4.036,-19.998,-80.71993135,23.153
2020/07/21 10:07:15,4.035,-19.998,-80.69762847,23.262
2020/07/21 10:07:16,4.034,-19.998,-80.67678184,23.276
2020/07/21 10:07:17,4.033,-19.998,-80.65444315,23.323
2020/07/21 10:07:18,4.032,-20,-80.64186992,23.219
2020/07/21 10:07:19,4.031,-19.998,-80.61558106,23.195
2020/07/21 10:07:20,4.03,-19.999,-80.60041344,23.272
2020/07/21 10:07:21,4.029,-19.999,-80.58069272,23.189
2020/07/21 10:07:22,4.028,-19.999,-80.56434369,23.295
2020/07/21 10:07:23,4.027,-19.999,-80.54470337,23.291
2020/07/21 10:07:24,4.027,-20,-80.53150936,23.278
2020/07/21 10:07:25,4.026,-19.999,-80.50952099,23.29
2020/07/21 10:07:26,4.025,-19.999,-80.49300423,23.356
2020/07/21 10:07:27,4.024,-19.999,-80.47818834,23.3
