2
"{'r0': 0.3989002260753505, 'rc': 0.001, 'c': 10.0}"
"{'r0': 0.9021197851236678, 'rc': 0.001, 'c': 10.0}"
"{'r0': 0.001, 'rc': 0.001, 'c': 10.0}"
"{'r0': 0.001, 'rc': 0.001, 'c': 10.0}"
"{'r0': 0.001, 'rc': 0.001, 'c': 10.0}"
"{'r0': 0.001, 'rc': 0.001, 'c': 10.0}"
"{'r0': 0.001, 'rc': 0.001, 'c': 10.0}"
"{'r0': 0.001, 'rc': 0.001, 'c': 10.0}"
"{'r0': 0.001, 'rc': 0.001, 'c': 10.0}"
"{'r0': 0.001, 'rc': 0.001, 'c': 10.0}"
"{'r0': 0.001, 'rc': 0.001, 'c': 10.0}"
"{'r0': 0.001, 'rc': 0.001, 'c': 10.0}"
"{'r0': 0.001, 'rc': 0.001, 'c': 10.0}"
"{'r0': 0.001, 'rc': 0.001, 'c': 10.0}"
"{'r0': 0.001, 'rc': 0.001, 'c': 10.0}"
"{'r0': 0.001, 'rc': 0.001, 'c': 10.0}"
"{'r0': 0.001, 'rc': 0.001, 'c': 10.0}"
"{'r0': 0.001, 'rc': 0.001, 'c': 10.0}"
"{'r0': 0.001, 'rc': 0.001, 'c': 10.0}"
"{'r0': 0.5959635567641601, 'rc': 0.001, 'c': 100000.0}"
"{'r0': 0.458294894943802, 'rc': 0.001, 'c': 10.0}"
"{'r0': 0.8028973847468608, 'rc': 0.001, 'c': 10.0}"
"{'r0': 0.9075246282640399, 'rc': 0.001, 'c': 10.0}"
"{'r0': 1.234430611975223, 'rc': 0.001, 'c': 10.0}"
