I,SoC,V
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
-0.4,44,551.8
