r0,rc,c
5.014399054407674416e-01,-1.112542060984655912e+00,1.286711523805364777e+04
1.214668626932272483e-01,7.101179670226203111e-01,1.286506067520448960e+04
1.024084941114459690e+00,1.488665820989294231e+00,1.286654139934891646e+04
9.111928312950640096e-01,-8.858191044450915985e-01,1.286739515031501651e+04
-7.755797601374080363e-01,7.640816958807852277e-01,1.286811863306626583e+04
-1.989762242312330454e+00,9.031792581100930306e-01,1.286710849187819076e+04
-4.724649904657898247e-01,2.472265840625589572e-01,1.286662888086968451e+04
7.958212248188062388e-01,1.541085505157343549e+00,1.286828510369005744e+04
2.221042864718132115e-01,-3.637034182710361940e-01,1.286584810071220818e+04
-2.503168118170772338e+00,3.946252216624817066e-01,1.286787710311529190e+04
-4.563905056865493748e-01,-6.346912134894562574e-02,1.286696356982951329e+04
-9.199523141282751615e-01,-8.754884195745877840e-01,1.286665951682997729e+04
-7.473035071466116452e-01,4.634626798794386215e-01,1.286731153456077845e+04
-2.376504460021976239e+00,4.312719735583807612e-01,1.286540741890462596e+04
1.858874262940259092e-01,9.118110326719894854e-01,1.286743223861939259e+04
-1.077777667859258992e+00,4.204236355327406471e-01,1.286704183904452475e+04
-7.319194991703605047e-02,-4.414705837340333616e-01,1.286880469744510265e+04
-2.819563273934503483e-02,-5.634438025042360909e-01,1.286690115720650647e+04
1.734421316676223013e+00,3.860915046504873605e-01,1.286806790582676331e+04
-4.945711394472101508e-01,7.132923534890381889e-01,1.286839884975568748e+04
3.347759772419578450e-01,1.922285336791976107e+00,1.286549828135195821e+04
1.214187100758787663e+00,-6.667411180789821756e-01,1.286866246443438467e+04
-1.093758960375156020e-01,7.298067284491077666e-01,1.286792064901293816e+04
1.064541327063082354e+00,-2.679434967003385903e+00,1.286634137728011774e+04
1.139400255804173145e+00,-1.965558171850822489e-01,1.286753585748601472e+04
9.122653583717219572e-01,-2.249444590048266523e-01,1.286622397408871257e+04
1.056599214611159132e+00,6.054809581254397832e-01,1.286654486057180293e+04
1.087841169372184558e+00,-2.557120106128354942e-02,1.286434486757036029e+04
-1.899387790180927738e+00,-1.162495130736507898e+00,1.286641028059349264e+04
-1.180273085316874582e+00,1.530333443478934186e+00,1.286735527352331701e+04
1.838836866416218574e-02,2.044470052015124661e+00,1.286807870736130280e+04
-9.725784606178459191e-01,6.024728131195821179e-01,1.286659304732044438e+04
3.770143919563739843e-01,2.120531133356998721e-01,1.286688415185481608e+04
-8.374520404968746057e-01,-4.282806011241765964e-01,1.286774271679686899e+04
5.657834464707820477e-01,1.074276699158831061e+00,1.286795285543170758e+04
-3.045613475831093764e-01,3.754199748852072860e-01,1.286773101499593758e+04
1.007252871623056240e-01,-3.102516119118017279e-01,1.286881037007639679e+04
-2.906932822668069072e-01,1.934027811925007390e+00,1.286686391783649560e+04
-1.102455205403010785e+00,4.301762094184756191e-01,1.286777460235403123e+04
6.923937548146708032e-01,-1.624068260937441721e+00,1.286775763437002570e+04
-2.036395100010500503e+00,1.255828799499184543e-02,1.286608162821442966e+04
3.369643470472506452e-01,2.890360325077895864e-01,1.286918323054894245e+04
2.016841463264994694e+00,6.270039287628158542e-01,1.286588694230209148e+04
6.529361617560989206e-01,-1.539654135873041785e+00,1.286805529833105902e+04
1.107578010987875894e+00,7.859662459062399797e-01,1.286690376514227501e+04
9.489512015805798284e-02,3.878710036825997465e-01,1.286668390840481152e+04
2.476243576667028767e-01,9.230702102757255556e-01,1.286658958328356312e+04
-5.165456443589650642e-02,1.246176766418183757e+00,1.286575383444948784e+04
