r0,rc,c
1.617728557178790133e-02,1.643176999496200053e-02,9.362838793050239474e+03
1.662324414589759838e-02,1.949901429988579876e-02,9.691182929386750402e+03
1.742012931646930163e-02,2.331042548524000016e-02,1.205235179425839669e+04
1.866181035241289837e-02,2.405549892268700127e-02,9.306629722651912743e+03
2.458766878720059987e-02,3.509812327856209890e-02,5.139236487869899975e+03
1.409019978951000021e-02,1.675327481627819984e-02,1.109633137234511923e+04
1.529214614347780034e-02,1.955123745186219952e-02,1.150039055960231599e+04
1.832060884376739834e-02,2.587845977437320047e-02,8.387385488248104593e+03
2.024351447942800142e-02,7.027397399950459367e-02,4.165597125612180207e+03
1.841742768226109842e-02,1.892760573440119970e-02,7.095522126130919787e+03
1.971757322175720153e-02,2.275104602510470003e-02,7.656756463380870628e+03
2.147849599510219878e-02,2.540686699658179989e-02,1.162076495860290015e+04
2.097615880487049833e-02,2.921313823800270049e-02,5.779820301468297657e+03
2.334051503026560170e-02,5.088745254950240160e-02,9.764667780887896242e+02
1.826367217475819912e-02,1.908221210415919980e-02,7.486048947631594274e+03
1.872434164413749880e-02,2.197857214378690083e-02,8.877164841613714088e+03
1.969387755102030083e-02,2.688775510204079872e-02,9.939871484623014112e+03
2.362244897959180079e-02,2.576530612244889995e-02,8.637570998076165779e+03
3.465576992706759923e-02,4.075932343661090029e-02,2.208704413880830998e+03
1.959876543209870120e-02,1.831275720164610155e-02,8.173032557952347815e+03
1.902695064096079913e-02,2.200464318158869975e-02,8.324182154290550898e+03
1.999694703098759893e-02,2.768025237877170044e-02,1.066003495358457076e+04
2.149581589958140040e-02,3.070083682008360043e-02,6.921215357560062330e+03
3.456790123456789793e-02,4.130658436213990176e-02,2.488091270505463854e+03
1.504932554862080038e-02,4.107106905576800304e-02,6.595567505665922909e+03
1.675582921166830080e-02,2.472998889673970122e-02,7.052525698015649141e+03
1.430651071733340073e-02,2.926559911651030119e-02,4.919388300296668604e+03
2.068503043433399941e-02,3.394202001444340117e-02,5.388818987273743005e+03
2.237521514629940006e-02,3.849162885307459703e-02,5.100613214223474642e+03
1.361222997860079935e-02,1.438309734643910057e-02,9.655887329624556514e+03
1.414945770163750054e-02,1.426427012134380036e-02,8.960577384795689795e+03
1.486760865039369987e-02,1.899411272840280038e-02,9.455065286064820612e+03
1.567325410917649875e-02,2.140139088796760153e-02,1.427372285770029157e+04
1.585767908911170018e-02,1.767986669152829884e-02,8.889953425772535411e+03
1.763015511731760160e-02,2.307908968327010077e-02,7.119632085267551702e+03
1.650035513826260056e-02,2.738398768647139908e-02,6.654396293296816111e+03
1.497851773624219937e-02,1.619353113334470046e-02,7.984697945588245602e+03
1.585921113214310008e-02,1.498951245715449999e-02,6.772833481756025321e+03
1.724489795918369983e-02,1.969387755102030083e-02,7.539511294063921923e+03
1.727962036416159919e-02,2.481043998555719846e-02,1.497566720186269049e+04
1.779341023121069898e-02,1.825893549888790018e-02,7.129969786763151205e+03
1.841742768226109842e-02,1.892760573440119970e-02,7.095522126130919787e+03
1.486555573526769994e-02,1.580034758050770025e-02,7.893720081515011771e+03
1.530534156420590083e-02,1.423396765471139983e-02,7.479917561069418298e+03
1.619642028163199854e-02,2.037447774281729920e-02,6.663748162106090604e+03
