Soc,r0,r1,c,OCV,Temp,DBSCANclusters
50,0.0020096760169177256,0.002687123940440115,36948.501421265224,3.711,40,2
40,0.0021744117339743733,0.0026566949668396303,47289.538473505534,3.674,40,2
20,0.0020829365353251476,0.004223720066092316,49577.85290802455,3.59,40,2
60,0.002028708523746612,0.0026822902650854544,42645.517946585256,3.764,40,2
50,0.002133128869725543,0.002267826223930036,46387.22497933193,3.707,40,2
40,0.001979850856501849,0.002702278930453368,40491.056108605255,3.671,40,2
30,0.00215649366213603,0.0027595442534175192,41198.38864697157,3.64,40,2
20,0.002018191450689846,0.0025153731039365837,42771.385179887315,3.587,40,2
80,0.002045376761778005,0.002743359801717957,39862.58097393792,3.951,40,2
60,0.002103590684916195,0.002574694456417025,42224.775303850125,3.766,40,2
50,0.0021615263282118596,0.002682276103691394,41321.84937866659,3.709,40,2
40,0.0019506080324313817,0.0025771775213061002,40340.70939970705,3.672,40,2
30,0.001902065533971268,0.002357107775561691,38566.736552218594,3.64,40,2
20,0.0020950513292481558,0.0026230246787116575,46966.118518471034,3.589,40,2
90,0.0019299436439931203,0.003167946854233476,42995.40414857375,4.047,40,2
80,0.002046043004713403,0.0019723009672980235,51107.84631233268,3.951,40,2
50,0.002172692090326968,0.0029088346479864986,42646.07402211008,3.711,40,2
40,0.001993122901002335,0.0024896259930736607,40690.56163886538,3.674,40,2
30,0.0021153950073305883,0.002860460619749915,44610.155529250194,3.643,40,2
20,0.002123066857593517,0.0029949065752082715,35578.78959749375,3.591,40,2
70,0.0019297153561980977,0.00300116888041152,40590.65789333052,3.862,40,2
60,0.0020017602210391874,0.0027555445613868744,43677.16179289812,3.764,40,2
50,0.0021325993894916536,0.002807765355656671,39607.098130210856,3.707,40,2
40,0.0021127579262993964,0.0026821178773688958,34353.18013382659,3.671,40,2
20,0.001976417804306848,0.0027278809734037545,42726.6466620829,3.587,40,2
80,0.0020329438271683223,0.0025886202672673036,36913.89910680526,3.952,40,2
60,0.0020185005064429114,0.002179255327352368,33495.79156750698,3.767,40,2
50,0.002130860826672306,0.0024463853067276916,31950.58204492832,3.709,40,2
40,0.0021563623303948926,0.002977321792421935,39273.7996106877,3.673,40,2
30,0.0019880265620375896,0.0018016666413064163,45963.329621788056,3.641,40,2
20,0.001945568149804818,0.0028635745212145496,35841.12084560952,3.59,40,2
10,0.0019587758082779522,0.003481076102291818,46660.44352268073,3.533,40,2
90,0.002151786868198941,0.002453904599407774,35907.60823652716,4.041,40,2
50,0.002145393111201176,0.003144541485401675,48469.88873854798,3.709,40,2
40,0.002034419811009785,0.002487002488570084,44147.416370881954,3.673,40,2
30,0.002013041052741612,0.002327973875110814,47650.41666061041,3.642,40,2
20,0.002026101813642524,0.0027097577655890185,56960.76228191386,3.589,40,2
50,0.002047334113717649,0.003207889316745048,35824.58358284268,3.706,40,2
40,0.0021027416858504593,0.002051473631461702,49276.953157117925,3.67,40,2
20,0.0019507378004262408,0.002082068148303174,51209.4161659047,3.586,40,2
80,0.00213154430725111,0.002811383326287173,43741.553550551755,3.946,40,2
70,0.0019988041791367873,0.002752218634550739,49458.78079571911,3.86,40,2
50,0.002009136679248255,0.002305050013186464,44733.39742512686,3.707,40,2
