soc,c,temp,soh
0,5811.382741095092,25,1.0
10,11404.450799023387,25,1.0
20,12600.929524604642,25,1.0
30,14661.237120445474,25,1.0
40,12066.767912278934,25,1.0
50,12601.899944872162,25,1.0
60,16568.821136888477,25,1.0
70,14557.128580892793,25,1.0
80,9990.085207007225,25,1.0
90,10479.544996056247,25,1.0
100,10883.181678678691,25,1.0
0,7264.228426368864,25,1.0
10,14255.563498779233,25,1.0
20,15751.161905755802,25,1.0
30,18326.546400556843,25,1.0
40,15083.459890348666,25,1.0
50,15752.374931090202,25,1.0
60,20711.026421110597,25,1.0
70,18196.410726115988,25,1.0
80,12487.60650875903,25,1.0
90,13099.431245070307,25,1.0
100,13603.977098348363,25,1.0
0,8717.074111642636,25,1.0
10,17106.67619853508,25,1.0
20,18901.39428690696,25,1.0
30,21991.85568066821,25,1.0
40,18100.151868418397,25,1.0
50,18902.849917308242,25,1.0
60,24853.231705332713,25,1.0
70,21835.692871339186,25,1.0
80,14985.127810510836,25,1.0
90,15719.31749408437,25,1.0
100,16324.772518018035,25,1.0
0,10169.91979691641,25,1.0
10,19957.788898290928,25,1.0
20,22051.626668058125,25,1.0
30,25657.16496077958,25,1.0
40,21116.843846488136,25,1.0
50,22053.324903526285,25,1.0
60,28995.436989554837,25,1.0
70,25474.97501656239,25,1.0
80,17482.649112262647,25,1.0
90,18339.203743098435,25,1.0
100,19045.56793768771,25,1.0
0,11622.765482190183,25,1.0
10,22808.901598046774,25,1.0
20,25201.859049209284,25,1.0
30,29322.474240890948,25,1.0
40,24133.53582455787,25,1.0
50,25203.799889744325,25,1.0
60,33137.64227377695,25,1.0
70,29114.257161785587,25,1.0
80,19980.17041401445,25,1.0
90,20959.089992112495,25,1.0
100,21766.363357357382,25,1.0
0,4842.818950912577,25,0.9
10,9503.708999186158,25,0.9
20,10500.774603837202,25,0.9
30,12217.69760037123,25,0.9
40,10055.639926899112,25,0.9
50,10501.58328739347,25,0.9
60,13807.350947407063,25,0.9
70,12130.940484077328,25,0.9
80,8325.071005839356,25,0.9
90,8732.954163380206,25,0.9
100,9069.318065565578,25,0.9
0,6053.523688640721,25,0.9
10,11879.636248982693,25,0.9
20,13125.968254796502,25,0.9
30,15272.122000464038,25,0.9
40,12569.549908623889,25,0.9
50,13126.979109241835,25,0.9
60,17259.188684258832,25,0.9
70,15163.675605096658,25,0.9
80,10406.338757299192,25,0.9
90,10916.192704225256,25,0.9
100,11336.64758195697,25,0.9
0,7264.228426368864,25,0.9
10,14255.563498779233,25,0.9
20,15751.161905755802,25,0.9
30,18326.546400556843,25,0.9
40,15083.459890348666,25,0.9
50,15752.374931090202,25,0.9
60,20711.026421110593,25,0.9
70,18196.410726115988,25,0.9
80,12487.606508759032,25,0.9
90,13099.43124507031,25,0.9
100,13603.977098348365,25,0.9
0,8474.933164097009,25,0.9
10,16631.490748575772,25,0.9
20,18376.355556715105,25,0.9
30,21380.97080064965,25,0.9
40,17597.369872073446,25,0.9
50,18377.77075293857,25,0.9
60,24162.864157962365,25,0.9
70,21229.145847135325,25,0.9
80,14568.874260218874,25,0.9
90,15282.669785915365,25,0.9
100,15871.306614739759,25,0.9
0,9685.637901825154,25,0.9
10,19007.417998372315,25,0.9
20,21001.549207674405,25,0.9
30,24435.39520074246,25,0.9
40,20111.279853798223,25,0.9
50,21003.16657478694,25,0.9
60,27614.701894814127,25,0.9
70,24261.880968154655,25,0.9
80,16650.142011678712,25,0.9
90,17465.90832676041,25,0.9
100,18138.636131131156,25,0.9
0,3874.2551607300616,25,0.8
10,7602.967199348926,25,0.8
20,8400.619683069763,25,0.8
30,9774.158080296984,25,0.8
40,8044.511941519291,25,0.8
50,8401.266629914777,25,0.8
60,11045.880757925654,25,0.8
70,9704.752387261864,25,0.8
80,6660.056804671484,25,0.8
90,6986.3633307041655,25,0.8
100,7255.454452452463,25,0.8
0,4842.818950912577,25,0.8
10,9503.708999186156,25,0.8
20,10500.774603837202,25,0.8
30,12217.69760037123,25,0.8
40,10055.639926899112,25,0.8
50,10501.58328739347,25,0.8
60,13807.350947407067,25,0.8
70,12130.940484077328,25,0.8
80,8325.071005839356,25,0.8
