,soc,r0,r1,c1,temp
33,1.0,0.002197813878540893,0.002479830456869154,22966.77861303526,30
35,0.8,0.002237985812768506,0.00291004075076684,24140.46479299896,30
37,0.6,0.002270522220110619,0.002205256308144166,20859.50562493952,30
38,0.5,0.00229104242430305,0.002435919125212682,22622.61180249321,30
39,0.4,0.002308188072363207,0.002861636232383558,26234.31423083442,30
41,0.2,0.002345539474079035,0.0028476244788328,20480.70591689081,30
44,1.0,0.001776265393655463,0.002142303785258267,27669.42834366446,40
46,0.8,0.001812960419528042,0.00249000480874384,25167.56232621204,40
48,0.6,0.0018200091000455,0.001753000587811804,24622.19318508872,40
49,0.5,0.001833762210507894,0.002069500675288105,26290.43297455814,40
50,0.4,0.001870430198945751,0.002474248019881498,29443.60166142191,40
51,0.3,0.001885009425047129,0.002450859588420395,29959.93060461282,40
52,0.2,0.001893087981139052,0.002194847174526671,23534.54164721047,40
53,0.1,0.001957582385753601,0.002144319812462325,18880.66145001332,40
