current,voltage,temperature,power,time
3.9297,4.1482,296.0498,16.30110031,0.0
3.7463,4.1498,296.05629999999996,15.54670243,1.0
3.5827,4.15,296.0306,14.86811402,2.0
3.4729,4.15,296.0145,14.41265933,3.0
3.4159,4.15,296.065,14.17581329,4.0
3.3014,4.1501,295.95989999999995,13.70098556,5.0
3.2441,4.15,296.0179,13.46314516,6.0
3.1871,4.15,295.9459,13.22643273,7.0
3.1181,4.15,295.9786,12.94008368,8.0
3.0543,4.15,296.0021,12.67542782,9.0
2.9912,4.15,295.9353,12.41348164,10.0
2.9621,4.15,295.9289,12.29290278,11.0
2.8722,4.1499,295.88469999999995,11.91926707,12.0
2.8395,4.15,295.90189999999996,11.7839574,13.0
2.7881,4.15,295.917,11.57058403,14.0
2.7536,4.15,295.92589999999996,11.42747699,15.0
2.7442,4.1501,295.88599999999997,11.38850528,16.0
2.6853,4.1499,295.9289,11.14379463,17.0
2.6195,4.15,295.8619,10.87090131,18.0
2.6276,4.1499,295.9217,10.90430829,19.0
2.5837,4.1501,295.87629999999996,10.72242857,20.0
2.5717,4.1499,295.91119999999995,10.67235338,21.0
2.5003,4.1499,295.90549999999996,10.37582159,22.0
2.4734,4.1501,295.91949999999997,10.26502846,23.0
2.4448,4.15,295.9063,10.14589295,24.0
2.441,4.15,295.92609999999996,10.12997452,25.0
2.3975,4.1499,295.8719,9.949386685,26.0
2.3691,4.15,295.94259999999997,9.831703366,27.0
2.3668,4.15,295.9337,9.822196954,28.0
2.3262,4.1499,296.00969999999995,9.653592102,29.0
2.3141,4.1499,295.9389,9.603257682,30.0
2.248,4.15,295.91139999999996,9.329216643,31.0
2.2692,4.15,295.90099999999995,9.417249773,32.0
2.2464,4.15,295.9169,9.322697533,33.0
2.1975,4.15,296.0198,9.119803452,34.0
2.1696,4.15,295.93489999999997,9.003681118,35.0
2.1504,4.1499,295.8956,8.924043676,36.0
2.1482,4.1499,295.9342,8.914771739,37.0
2.1351,4.1501,295.95799999999997,8.860762087,38.0
2.0981,4.15,295.9923,8.707143737,39.0
2.0799,4.15,295.88899999999995,8.631465609,40.0
2.0672,4.15,295.92359999999996,8.578999955,41.0
2.0494,4.15,295.9178,8.505271507,42.0
2.0258,4.1499,295.92339999999996,8.406748448,43.0
2.0053,4.15,295.95329999999996,8.321791562,44.0
2.0012,4.1499,295.9693,8.304798791,45.0
1.9836,4.15,295.9359,8.23198759,46.0
1.9681,4.15,295.9495,8.167491124,47.0
1.9728,4.1499,295.99989999999997,8.186819879,48.0
1.9444,4.15,295.95529999999997,8.069267957,49.0
1.9624,4.1499,296.0519,8.143941905,50.0
1.9219,4.1499,296.0388,7.975463443,51.0
1.8968,4.1499,296.04839999999996,7.871764907,52.0
1.9086,4.1499,296.0487,7.920248722,53.0
1.9,4.15,296.04049999999995,7.88499551,54.0
1.861,4.1499,295.99069999999995,7.723029173,55.0
1.8678,4.15,296.05179999999996,7.751152387,56.0
1.8608,4.1499,295.99719999999996,7.721975271,57.0
1.8252,4.1501,296.02349999999996,7.574527175,58.0
1.8333,4.15,296.0025,7.608004459,59.0
1.8551,4.15,296.0822,7.698886323,60.0
1.8042,4.15,296.1008,7.487459038,61.0
1.7837,4.1499,296.08189999999996,7.402022827,62.0
1.7848,4.1501,296.03729999999996,7.40705513,63.0
1.7756,4.1499,296.094,7.368450391,64.0
1.7406,4.1499,295.9523,7.223434656,65.0
1.7289,4.15,296.05249999999995,7.174925585,66.0
1.7298,4.1498,296.13309999999996,7.178423472,67.0
1.7224,4.15,296.0603,7.14781914,68.0
1.7427,4.15,296.10049999999995,7.232009812,69.0
1.7086,4.1499,295.9932,7.090646679,70.0
1.7043,4.1498,296.03979999999996,7.072710352,71.0
1.7156,4.15,296.13329999999996,7.119766706,72.0
1.6795,4.15,296.1121,6.970050144,73.0
1.6847,4.1499,296.10139999999996,6.991458192,74.0
1.6475,4.15,296.03869999999995,6.8372057,75.0
1.6644,4.15,296.1327,6.907385378,76.0
1.6412,4.1499,296.06649999999996,6.810812653,77.0
1.6266,4.1499,296.106,6.750115172,78.0
1.643,4.15,296.1368,6.818475897,79.0
1.6221,4.1499,296.08849999999995,6.73145811,80.0
1.6187,4.15,296.09979999999996,6.717437392,81.0
1.6279,4.15,296.1234,6.755852616,82.0
1.6169,4.15,296.05899999999997,6.709984707,83.0
1.5982,4.15,296.0666,6.63232153,84.0
1.5804,4.1499,296.13169999999997,6.558339798,85.0
1.584,4.1501,296.15729999999996,6.573560957,86.0
1.5853,4.1499,296.0111,6.578909809,87.0
1.5752,4.15,296.0702,6.53696617,88.0
1.5819,4.1499,296.1218,6.564827897,89.0
1.5653,4.15,296.09869999999995,6.495816548,90.0
1.5362,4.15,296.05039999999997,6.375162456,91.0
1.556,4.15,296.1253,6.457453307,92.0
1.5206,4.15,296.0788,6.310576602,93.0
1.5231,4.15,295.9906,6.320924335,94.0
1.5357,4.1499,296.0299,6.373172792,95.0
1.5218,4.1499,295.97499999999997,6.315146269,96.0
1.4859,4.1499,295.9333,6.166363986,97.0
1.5118,4.1499,295.9427,6.273948031,98.0
1.5107,4.15,295.93489999999997,6.269445407,99.0
1.467,4.15,295.90529999999995,6.08794744,100.0
1.487,4.1499,295.928,6.17109886,101.0
