3
[8.85523617e-03 1.04086100e-02 1.30010233e+04]
[8.93231610e-03 8.99726919e-03 1.30185181e+04]
[9.57475345e-03 1.20616743e-02 1.17371921e+04]
[9.48956791e-03 1.61688469e-02 1.46451391e+04]
[9.83028486e-03 1.11223137e-02 1.89518911e+04]
[9.95109321e-03 1.06348378e-02 1.36709653e+04]
[8.20522396e-03 9.45049645e-03 1.40100640e+04]
[8.27139505e-03 8.05929811e-03 1.44602935e+04]
[8.76251463e-03 1.09381673e-02 1.27838670e+04]
[8.63327676e-03 1.47643999e-02 1.42734955e+04]
[8.83063743e-03 9.88373347e-03 2.05172973e+04]
[8.89023990e-03 9.52274893e-03 1.44231500e+04]
[7.36342323e-03 8.95934134e-03 1.80456026e+04]
[7.81015320e-03 7.25943727e-03 1.85270402e+04]
[7.54010425e-03 1.01715500e-02 1.42292356e+04]
[7.58153971e-03 1.38910090e-02 1.52571366e+04]
[7.61150860e-03 9.33678388e-03 2.73066150e+04]
[7.81893004e-03 8.59053498e-03 1.48084322e+04]
[7.62253098e-03 7.80007025e-03 1.03704633e+04]
[7.73418816e-03 6.66564901e-03 1.24367714e+04]
[7.96565458e-03 9.31050535e-03 1.11347722e+04]
[7.57040476e-03 1.30715656e-02 1.27007655e+04]
[7.82728807e-03 8.18539929e-03 1.85628771e+04]
[7.69507003e-03 8.51587749e-03 1.44027903e+04]
[7.67968106e-03 8.71773724e-03 1.66412484e+04]
[7.28708061e-03 7.43889479e-03 1.67423948e+04]
[8.34506859e-03 9.96192562e-03 1.61276180e+04]
[8.17901235e-03 1.31172840e-02 1.37476534e+04]
[8.05417329e-03 8.41327656e-03 2.03786184e+04]
[7.97415969e-03 8.12556778e-03 1.63147814e+04]
[1.e-03 1.e-03 1.e+01]
[1.00000000e-03 1.00000000e+01 6.92005839e+04]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.71164281e-03 1.00000000e-03 1.00000000e+01]
[1.e-03 1.e-03 1.e+01]
[1.00000000e-03 1.67245979e-03 1.00000000e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[2.00424406e-03 1.00000000e-03 1.00000000e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.0000000e-03 2.7072196e-03 1.0000000e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[3.20735457e-03 1.00000000e-03 1.00000000e+01]
[1.e-03 1.e-03 1.e+01]
[3.43026522e-03 1.00000000e-03 1.00000000e+01]
[1.e-03 1.e-03 1.e+01]
[1.00000000e-03 3.21747161e-03 1.00000000e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.00000000e-03 3.27281858e-03 1.00000000e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.00000000e-03 3.38407888e-03 1.00000000e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[4.03236014e-03 1.00000000e-03 1.00000000e+01]
[1.e-03 1.e-03 1.e+01]
[1.00000000e-03 3.76964954e-03 1.00000000e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.00000000e-03 3.88761839e-03 1.00000000e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.00000000e-03 4.00027291e-03 1.00000000e+01]
[1.e-03 1.e-03 1.e+01]
[3.92493618e-03 1.00000000e-03 1.00000000e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[4.09315705e-03 1.00000000e-03 1.00000000e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[4.14075925e-03 1.00000000e-03 1.00000000e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[4.17192945e-03 1.00000000e-03 1.00000000e+01]
[4.2545333e-03 1.0000000e-03 1.0000000e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[4.29127063e-03 1.00000000e-03 1.00000000e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[4.44274928e-03 1.00000000e-03 1.00000000e+01]
[1.e-03 1.e-03 1.e+01]
[4.66791024e-03 1.00000000e-03 1.00000000e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.00000000e-03 4.28628824e-03 1.00000000e+01]
[4.59415826e-03 1.00000000e-03 1.00000000e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.00000000e-03 4.60024161e-03 1.00000000e+01]
[4.81204848e-03 1.00000000e-03 1.00000000e+01]
[4.81157879e-03 1.00000000e-03 1.00000000e+01]
[1.0000000e-03 4.5719703e-03 1.0000000e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[4.96053858e-03 1.00000000e-03 1.00000000e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[5.15755434e-03 1.00000000e-03 1.00000000e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
[1.0000000e-03 5.0731207e-03 1.0000000e+01]
[1.e-03 1.e-03 1.e+01]
[1.e-03 1.e-03 1.e+01]
